x_coordinate ,x_index,y_coordinate ,y_index
2207750.0,6768,-2856000.0,7840
2263750.0,6824,-2843000.0,7827
2319750.0,6880,-2829000.0,7813
2375750.0,6936,-2815000.0,7799
2431750.0,6992,-2800000.0,7784
2487750.0,7048,-2786000.0,7770
2543750.0,7104,-2771000.0,7755
2599750.0,7160,-2755000.0,7739
2654750.0,7215,-2739000.0,7723
2710750.0,7271,-2723000.0,7707
2765750.0,7326,-2707000.0,7691
2821750.0,7382,-2690000.0,7674
2876750.0,7437,-2673000.0,7657
2931750.0,7492,-2656000.0,7640
2986750.0,7547,-2638000.0,7622
3041750.0,7602,-2620000.0,7604
3096750.0,7657,-2601000.0,7585
3151750.0,7712,-2583000.0,7567
3205750.0,7766,-2564000.0,7548
-4552250.0,8,-1904000.0,6888
-4501250.0,59,-1931000.0,6915
-4450250.0,110,-1958000.0,6942
-4399250.0,161,-1984000.0,6968
-4348250.0,212,-2010000.0,6994
-4297250.0,263,-2036000.0,7020
-4245250.0,315,-2062000.0,7046
-4194250.0,366,-2087000.0,7071
-4142250.0,418,-2112000.0,7096
-4090250.0,470,-2137000.0,7121
-4038250.0,522,-2161000.0,7145
-3986250.0,574,-2185000.0,7169
-3933250.0,627,-2209000.0,7193
-3881250.0,679,-2232000.0,7216
-3828250.0,732,-2255000.0,7239
-3775250.0,785,-2278000.0,7262
-3722250.0,838,-2301000.0,7285
-3669250.0,891,-2323000.0,7307
-3616250.0,944,-2345000.0,7329
-3563250.0,997,-2366000.0,7350
-3509250.0,1051,-2387000.0,7371
-3456250.0,1104,-2408000.0,7392
-3402250.0,1158,-2429000.0,7413
-3348250.0,1212,-2449000.0,7433
-3294250.0,1266,-2469000.0,7453
-3240250.0,1320,-2489000.0,7473
-3186250.0,1374,-2508000.0,7492
-3132250.0,1428,-2527000.0,7511
-3077250.0,1483,-2545000.0,7529
-3023250.0,1537,-2564000.0,7548
-2968250.0,1592,-2582000.0,7566
-2914250.0,1646,-2599000.0,7583
-2859250.0,1701,-2617000.0,7601
-2804250.0,1756,-2634000.0,7618
-2749250.0,1811,-2650000.0,7634
-2694250.0,1866,-2666000.0,7650
-2638250.0,1922,-2682000.0,7666
-2583250.0,1977,-2698000.0,7682
-2528250.0,2032,-2713000.0,7697
-2472250.0,2088,-2728000.0,7712
-2417250.0,2143,-2743000.0,7727
-2361250.0,2199,-2757000.0,7741
-2305250.0,2255,-2771000.0,7755
-2249250.0,2311,-2785000.0,7769
-2193250.0,2367,-2798000.0,7782
-2137250.0,2423,-2811000.0,7795
-2081250.0,2479,-2824000.0,7808
-2025250.0,2535,-2836000.0,7820
-1969250.0,2591,-2848000.0,7832
-1913250.0,2647,-2860000.0,7844
-1856250.0,2704,-2871000.0,7855
-1800250.0,2760,-2882000.0,7866
-1743250.0,2817,-2893000.0,7877
-1687250.0,2873,-2903000.0,7887
-1630250.0,2930,-2913000.0,7897
-1574250.0,2986,-2923000.0,7907
-1517250.0,3043,-2932000.0,7916
